bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n
1620501-0,1.8,gut,500243.591,6026321.995
1620502-0,1.7,gut,500243.591,6026321.995
1620503-0,1.8,gut,500023.626,6025629.326
1620504-0,2.2,befriedigend,500024.54,6025632.204
1620505-0,2.7,ausreichend,501701.145,6027527.217
1620506-0,2.3,befriedigend,505856.405,6024998.067
1620507-0,2.0,befriedigend,505812.853,6025015.47
1620508-0,3.0,nicht ausreichend,505392.401,6025240.215
1620509-0,2.0,befriedigend,504494.836,6025870.148
1620522-0,1.8,gut,501654.803,6027469.794
1621501-0,2.9,ausreichend,517991.073,6021341.249
1621502-0,2.6,ausreichend,517659.557,6021627.696
1622500-0,2.8,ausreichend,525139.862,6019338.255
1622502-0,2.9,ausreichend,525146.949,6019334.52
1623500-1,1.8,gut,543125.504,6025035.539
1623500-2,2.0,befriedigend,543125.504,6025035.539
1623501-1,1.8,gut,542879.94,6025635.594
1623501-2,1.8,gut,542879.94,6025635.594
1623502-0,1.6,gut,542787.167,6025880.173
1623503-0,2.3,befriedigend,542285.281,6027187.683
1623507-0,2.9,ausreichend,542145.03,6017153.71
1623508-1,2.2,befriedigend,541827.188,6017306.106
1623508-2,1.9,gut,541827.188,6017306.106
1623509-0,2.5,ausreichend,541210.999,6017711.894
1623510-0,1.7,gut,540826.856,6018202.212
1623512-1,1.9,gut,540475.798,6018954.987
1623512-2,2.0,befriedigend,540475.798,6018954.987
1623513-0,1.8,gut,538014.962,6022169.638
1623514-0,2.8,ausreichend,536095.4,6023345.747
1623515-0,1.9,gut,536055.574,6023423.078
1623516-0,2.3,befriedigend,536051.387,6018073.116
1623525-0,2.2,befriedigend,542915.492,6017972.295
1623528-0,2.0,befriedigend,540437.814,6020437.562
1623531-0,1.9,gut,540718.964,6018392
1623532-0,1.0,sehr gut,543216.226,6018339.9
1624500-1,1.7,gut,549276.234,6017311.706
1624500-2,1.0,sehr gut,549276.234,6017311.706
1624501-1,2.7,ausreichend,549083.768,6017744.753
