bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
5008807-1,2.7,ausreichend,363986.33,5642055.403,50.9140994783218,7.0651391973241395
5008807-2,2.3,befriedigend,363986.33,5642055.403,50.9140994783218,7.0651391973241395
5008808-1,2.2,befriedigend,364157.569,5641386.787,50.90813061009924,7.067822574331478
5008809-A,2.4,befriedigend,364349.043,5641051.468,50.90516194361396,7.070669003886798
5008834-0,2.9,ausreichend,363809.006,5643032.661,50.922840747378416,7.062253335565336
5008868-2,2.7,ausreichend,359627.036,5641719.398,50.910035945353066,7.003295002286044
5008868-3,2.5,ausreichend,359627.036,5641719.398,50.910035945353066,7.003295002286044
5008945-0,2.2,befriedigend,367972.297,5641123.904,50.906652980612925,7.122145485979566
5009681-1,2.2,befriedigend,371931.838,5646547.877,50.956295941152646,7.1765260029115
5009681-2,2.5,ausreichend,371931.838,5646547.877,50.956295941152646,7.1765260029115
5009685-1,2.8,ausreichend,374485.836,5645727.876,50.949487559715635,7.213154234029503
5009687-0,2.2,befriedigend,374958.86,5645584.468,50.94830138501487,7.219934067818554
5009688-1,2.4,befriedigend,374925.594,5645557.484,50.948051629263475,7.219470011437677
5009688-2,2.5,ausreichend,374925.594,5645557.484,50.948051629263475,7.219470011437677
5009690-2,2.3,befriedigend,375046.234,5645454.685,50.94715381099435,7.221221803674546
5009691-0,2.7,ausreichend,375380.013,5645151.975,50.94450522746687,7.226074458323506
5009692-2,2.8,ausreichend,375819.371,5644969.09,50.94295620914857,7.232387744285139
5009693-0,2.9,ausreichend,376452.987,5645036.938,50.943702179554315,7.241379194457751
5009694-0,2.2,befriedigend,376925.168,5645238.988,50.945619276740764,7.2480287750685575
5009695-0,2.5,ausreichend,377494.952,5645526.448,50.948324451256504,7.256038923752508
5009697-0,3.0,nicht ausreichend,378609.973,5645745.991,50.95053370629834,7.2718312224642805
5009698-0,2.3,befriedigend,379433.828,5645276.466,50.94648628625735,7.283709852028423
5009700-0,2.2,befriedigend,380441.028,5645208.519,50.94608531580948,7.298063115327903
5009702-1,2.2,befriedigend,381137.315,5645119.744,50.94543133888765,7.30799918747385
5009702-2,2.3,befriedigend,381137.315,5645119.744,50.94543133888765,7.30799918747385
5009703-1,2.1,befriedigend,381359.467,5645177.677,50.945997842418166,7.3111411598435785
5009704-0,2.3,befriedigend,382011.257,5646019.753,50.953700794865114,7.3201422885020175
5009705-1,2.5,ausreichend,382406.111,5646654.292,50.95948519565807,7.325556405708554
5009705-2,2.5,ausreichend,382406.111,5646654.292,50.95948519565807,7.325556405708554
5010554-0,2.3,befriedigend,388270.511,5640494.506,50.905281087064665,7.410913938310076
5010707-0,2.4,befriedigend,384233.447,5647331.071,50.96593869615215,7.351349261252829
5010708-0,2.5,ausreichend,384985.52,5647364.172,50.96638688758613,7.362044495401043
5010709-2,2.3,befriedigend,385553.37,5647778.384,50.970223300257665,7.369997568551761
5010709-3,2.5,ausreichend,385553.37,5647778.384,50.970223300257665,7.369997568551761
5010710-2,2.3,befriedigend,385835.062,5648208.617,50.974146534428094,7.373872750066018
5010710-3,2.5,ausreichend,385835.062,5648208.617,50.974146534428094,7.373872750066018
5010714-0,2.3,befriedigend,387768.471,5649044.554,50.98204084134212,7.401141918299779
5010715-1,2.5,ausreichend,388555.37,5648742.092,50.97947485029006,7.412440260794419
5010715-2,2.3,befriedigend,388601.617,5648729.231,50.97936819134809,7.413102733488141
5010717-0,2.4,befriedigend,389472.207,5648826.669,50.98041185578652,7.425469841799492
5010718-1,2.8,ausreichend,389857.365,5648960.083,50.98168494568298,7.430913995834671
5010718-2,2.9,ausreichend,389857.365,5648960.083,50.98168494568298,7.430913995834671
5010719-0,2.3,befriedigend,390882.282,5648654.787,50.97913574085672,7.445600790706031
5010720-0,2.1,befriedigend,390963.97,5648589.674,50.97856590072448,7.446783523951819
5010721-0,2.5,ausreichend,392081.925,5648121.767,50.97457036786023,7.462841515471434
5010722-0,2.5,ausreichend,392132.489,5648098.369,50.97436950968848,7.463568401455562
5010723-1,2.4,befriedigend,392556.178,5647961.529,50.973218616239805,7.469641427446142
5010723-2,2.5,ausreichend,392563.077,5647960.296,50.97320881949322,7.469740019067567
5010724-0,2.4,befriedigend,393896.443,5648126.755,50.97495239410506,7.4886759072671705
5011510-A,2.7,ausreichend,398478.936,5649718.597,50.990088633471856,7.553480839914446
5011510-B,2.1,befriedigend,398477.854,5649701.117,50.989931303586275,7.553470313731246
5011510-C,2.2,befriedigend,398477.554,5649696.262,50.98988760593172,7.553467397559987
5011510-D,2.6,ausreichend,398477.313,5649692.377,50.98985263864179,7.553465050662273
5011510-E,2.9,ausreichend,398475.81,5649668.1,50.98963413185399,7.553450427722779
5011515-0,2.2,befriedigend,397244.276,5648176.553,50.976007185059736,7.5363309779359255
5011555-0,2.3,befriedigend,404311.598,5645465.874,50.952855968004116,7.637680500313545
5011556-1,2.4,befriedigend,404515.531,5646123.889,50.958805370585736,7.6404103946640785
5011556-2,2.5,ausreichend,404515.531,5646123.889,50.958805370585736,7.6404103946640785
5011558-0,2.3,befriedigend,404186.113,5644914.464,50.94787792849192,7.63603962471179
5011559-0,2.3,befriedigend,404269.011,5644480.695,50.94399210277136,7.637333393885797
5011567-0,2.2,befriedigend,405476.59,5641237.311,50.915032931631025,7.6553584639765795
5011571-0,2.4,befriedigend,405186.615,5641412.635,50.9165615478901,7.651189078957538
5011595-0,2.3,befriedigend,404383.325,5646834.441,50.96517132097453,7.63834176097956
5011597-0,2.4,befriedigend,397820.202,5648473.953,50.978783186048936,7.544448123790961
5011605-0,2.4,befriedigend,398098.396,5649215.478,50.98549853035146,7.548201710328094
5011606-0,2.4,befriedigend,398047.965,5649191.322,50.98527244713074,7.547490241800632
5011613-1,2.3,befriedigend,397877.507,5648954.979,50.983117597658946,7.545128987836929
5011613-2,2.3,befriedigend,397877.507,5648954.979,50.983117597658946,7.545128987836929
5011617-0,2.4,befriedigend,404224.729,5642146.06,50.92299624768695,7.637316842409503
5011618-0,2.1,befriedigend,404662.024,5641985.89,50.92162873556332,7.643578650131296
5011619-0,2.3,befriedigend,404819.257,5641994.606,50.921733054517794,7.645812739627059
5011622-A2,2.8,ausreichend,404884.189,5649591.163,50.99003722127788,7.644750987026041
5011622-A3,2.7,ausreichend,404892.489,5649568.747,50.989837073112604,7.644875082558398
5011632-0,2.3,befriedigend,405013.268,5642076.054,50.922497256318536,7.6485510000426675
5011638-0,2.5,ausreichend,404653.786,5647484.924,50.97106400699216,7.642021655079907
5011696-0,2.8,ausreichend,404383.473,5650477.776,50.997924872582345,7.637385297398407
5011698-0,2.4,befriedigend,404810.805,5648360.077,50.97895762223835,7.64402820363964
5011726-0,2.8,ausreichend,395378.388,5648138.227,50.975326670000825,7.509773529973679
5011727-2,2.5,ausreichend,395761.577,5647994.477,50.97410391846516,7.515270911057713
5011727-3,3.0,nicht ausreichend,395761.577,5647994.477,50.97410391846516,7.515270911057713
5011728-0,2.3,befriedigend,396265.374,5647841.587,50.97282047845124,7.522487849529054
5011729-1,2.2,befriedigend,396523.614,5647823.549,50.9727047828156,7.526169841358991
5011729-2,2.3,befriedigend,396523.614,5647823.549,50.9727047828156,7.526169841358991
5011730-0,2.5,ausreichend,397101.829,5647887.201,50.97338059103931,7.534384543424174
5011731-0,2.3,befriedigend,397871.092,5647686.924,50.97171710980595,7.545393892954701
5011732-0,2.5,ausreichend,398556.373,5647584.755,50.970919757986245,7.5551794149005955
5011733-0,2.5,ausreichend,399479.802,5647854.674,50.97350816853551,7.568252410630281
5011734-0,2.3,befriedigend,400284.12,5647926.939,50.97429764748405,7.579685019455173
5011735-1,2.3,befriedigend,400841.904,5648039.358,50.97540458761687,7.587596631373165
5011735-2,2.7,ausreichend,400841.904,5648039.358,50.97540458761687,7.587596631373165
5011737-0,2.3,befriedigend,402530.404,5648311.297,50.97813757149166,7.61156701455096
5011738-2,2.2,befriedigend,403576.901,5648648.877,50.98134859966032,7.626379969009135
5011739-1,2.1,befriedigend,404397.717,5648412.685,50.97936212505743,7.638131694629502
5011740-1,3.0,nicht ausreichend,404711.479,5648065.278,50.97629094678881,7.642691006465493
5011740-2,2.8,ausreichend,404711.479,5648065.278,50.97629094678881,7.642691006465493
5011740-3,3.0,nicht ausreichend,404711.479,5648065.278,50.97629094678881,7.642691006465493
5011740-4,3.0,nicht ausreichend,404711.479,5648065.278,50.97629094678881,7.642691006465493
5011741-0,2.5,ausreichend,404900.628,5647740.809,50.97340523285152,7.645469351368279
5011743-0,2.3,befriedigend,406077.273,5646863.325,50.965709677035846,7.662450388914508
5012744-0,2.3,befriedigend,406773.464,5646777.588,50.96505198372956,7.672383931849047
5012745-2,2.2,befriedigend,407659.597,5646761.597,50.96505095112883,7.685003620415552
5012746-0,2.2,befriedigend,409266.034,5646811.895,50.96575841764044,7.70786166073609
5012747-0,3.0,nicht ausreichend,409410.39,5646820.588,50.965859290388906,7.709914705255894
5012748-0,2.2,befriedigend,409941.576,5646972.611,50.96730931505462,7.717439643386667
5012750-0,2.5,ausreichend,410493.139,5647421.238,50.971428589312225,7.725182183976017
5012751-0,2.7,ausreichend,410948.296,5647635.658,50.973426856970114,7.731610622948189
5012752-0,2.8,ausreichend,412871.107,5647783.965,50.97505433207777,7.7589552906617705
5012753-0,2.9,ausreichend,413745.805,5648348.818,50.9802643083219,7.771277181125651
5012754-0,2.7,ausreichend,414494.666,5648713.123,50.98365129562075,7.7818566748862095
5012755-0,2.2,befriedigend,414945.009,5648808.514,50.984575624894475,7.788248574077249
5012756-0,2.5,ausreichend,416006.339,5648777.181,50.98444976475198,7.803372698182075
5012757-0,2.5,ausreichend,416802.956,5648473.94,50.9818391319001,7.814788630302712
5012759-0,2.5,ausreichend,417489.198,5648456.252,50.981778869558376,7.824566526752333
5012762-0,2.9,ausreichend,418062.162,5648828.424,50.985206774825265,7.832643124045896
5013548-0,2.9,ausreichend,428342.612,5647212.659,50.97205088187575,7.979399152785891
5013549-0,2.1,befriedigend,428264.358,5647273.025,50.97258389690136,7.9782728774581475
5013550-0,2.2,befriedigend,428097.06,5647482.982,50.974450777718474,7.9758489446751
5013551-0,2.5,ausreichend,427740.029,5647904.463,50.978195657082,7.970680659405841
5013564-0,2.3,befriedigend,428705.252,5645944.697,50.96069546842952,7.984811825741222
5013568-2,2.4,befriedigend,429745.76,5644499.526,50.947829471802045,7.999904459003158
5013568-3,2.5,ausreichend,429745.76,5644499.526,50.947829471802045,7.999904459003158
5013569-2,2.7,ausreichend,429071.183,5645355.076,50.95543925556185,7.990136490003785
5013573-1,2.3,befriedigend,428049.524,5646990.955,50.97002097446272,7.975269344281437
5013573-2,2.5,ausreichend,428086.818,5646956.06,50.96971188764053,7.975807301461442
5013594-0,2.2,befriedigend,429370.904,5646108.913,50.9622539530548,7.994256803971436
5013595-0,2.5,ausreichend,429446.502,5644634.15,50.949003348903375,7.995619020113628
5013611-0,2.9,ausreichend,427228.876,5647083.116,50.970746493152305,7.963565129590771
5013613-1,2.1,befriedigend,426080.173,5646916.813,50.96910496587333,7.947241587127078
5013613-2,2.1,befriedigend,426080.173,5646916.813,50.96910496587333,7.947241587127078
5013614-1,2.3,befriedigend,425689.916,5647307.31,50.972565708682154,7.9416047992340655
