bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
4508626-1,2.0,befriedigend,362644.054,5699828.423,51.43298420460382,7.023980636695358
4508627-0,2.0,befriedigend,362939.426,5700181.703,51.43623048246893,7.0280904539126325
4508733-0,2.0,befriedigend,362231.419,5701725.274,51.44992994476046,7.0173099980348645
4508734-1,1.9,gut,362256.509,5701695.539,51.44966883734347,7.0176824232482256
4508735-1,1.4,sehr gut,362186.45,5701756.903,51.450203233448455,7.016650925751996
4508744-0,1.2,sehr gut,362794.393,5701864.022,51.45131348783018,7.025353021417929
4508758-3,2.0,befriedigend,363881.757,5702179.573,51.454411640274124,7.040870944405877
4508760-A,1.0,sehr gut,364065.713,5702239.197,51.454991651349204,7.043494020694498
4508760-B,1.7,gut,364044.246,5702282.845,51.45537874154476,7.043168462122424
4508760-C,1.0,sehr gut,364065.713,5702239.197,51.454991651349204,7.043494020694498
4508764-0,1.9,gut,364669.609,5702660.992,51.45892682563372,7.052019102192093
4508775-2,1.9,gut,370043.107,5704226.342,51.474253757314514,7.128745855424048
4508784-3,2.0,befriedigend,370978.394,5704210.616,51.47432649367056,7.142211190532419
4508790-0,2.0,befriedigend,367232.718,5703377.435,51.46597230264256,7.0886218397852465
4508796-0,1.8,gut,367682.318,5703758.659,51.46950358554473,7.0949479167605265
4508825-0,2.0,befriedigend,368037.411,5706661.46,51.49567340996769,7.098972650445389
4508835-1,1.8,gut,368280.835,5704043.468,51.472202757505386,7.103453856650962
4508835-2,1.2,sehr gut,368280.835,5704043.468,51.472202757505386,7.103453856650962
4509603-1,2.0,befriedigend,380748.859,5702641.371,51.46236643971084,7.2833554182375675
4509603-2,1.9,gut,380748.859,5702641.371,51.46236643971084,7.2833554182375675
4509604-0,2.0,befriedigend,380791.286,5702606.712,51.46206387091478,7.283977555165071
4509626-1,2.0,befriedigend,379153.768,5696176.572,51.40392451832517,7.262611048020099
4509644-0,1.7,gut,381098.985,5702862.961,51.46443170121159,7.288318605084013
4509659-0,1.9,gut,379762.236,5706607.303,51.497802107354644,7.267809581941365
4509774-2,2.0,befriedigend,376446.84,5706757.01,51.49843266372445,7.22001877367049
4509774-3,1.8,gut,376446.84,5706757.01,51.49843266372445,7.22001877367049
4509776-2,2.0,befriedigend,376984.728,5706593.023,51.497076156197586,7.22782109090759
4509776-3,2.0,befriedigend,376984.728,5706593.023,51.497076156197586,7.22782109090759
4509783-2,2.0,befriedigend,378975.839,5706263.456,51.4945439409506,7.256604006394229
4509794-2,1.9,gut,382228.406,5706398.783,51.49644717185422,7.303390824835871
4509795-0,2.0,befriedigend,383117.313,5706328.765,51.496002353113354,7.316213578707537
4510553-2,1.9,gut,393030.79,5695514.178,51.4007576868126,7.462236506660343
4510553-3,1.9,gut,393030.79,5695514.178,51.4007576868126,7.462236506660343
4510553-4,1.9,gut,393030.79,5695514.178,51.4007576868126,7.462236506660343
4510553-5,2.0,befriedigend,393030.79,5695514.178,51.4007576868126,7.462236506660343
4510565-0,1.8,gut,391050.221,5697283.911,51.416287978163524,7.433231973360337
4510566-0,1.7,gut,394216.293,5699666.5,51.4383039081401,7.478033148594461
4510567-0,1.7,gut,394702.586,5701239.908,51.45253734979335,7.484558906866345
4510569-2,1.9,gut,394665.362,5702299.531,51.46205499801643,7.483707765240154
4510569-3,1.8,gut,394665.362,5702299.531,51.46205499801643,7.483707765240154
4510571-0,1.8,gut,394521.534,5702938.234,51.46776927117268,7.481447557365814
4510580-0,1.6,gut,391213.886,5695565.611,51.40087444308925,7.436111731112639
4510581-2,2.0,befriedigend,391141.414,5696303.963,51.407497229256734,7.434843720304231
4510591-0,1.9,gut,391171.022,5695768.856,51.4026930931123,7.435433427230018
4510592-0,1.8,gut,391154.456,5696218.728,51.40673359671454,7.43505731963415
4510625-0,1.8,gut,388290.772,5702139.255,51.45939215431485,7.392033917687274
4510639-1,1.9,gut,393610.839,5705483.049,51.4904729611617,7.467574943455059
4510662-0,2.0,befriedigend,390300.677,5706291.372,51.49710588991843,7.419663451326239
4510694-0,1.0,sehr gut,390305.611,5706292.106,51.4971134448217,7.419734273619165
4510755-0,2.0,befriedigend,395429.428,5700189.112,51.443226769058235,7.495326277616364
4510757-0,2.0,befriedigend,395176.092,5700228.909,51.44353766036923,7.491670576421168
4510765-0,2.0,befriedigend,393138.648,5700065.679,51.44168969039173,7.462413962748625
4510769-0,1.0,sehr gut,391334.88,5700384.454,51.44421180025387,7.436372686075806
4510772-0,2.0,befriedigend,390514.602,5701222.598,51.451587396340095,7.424314805239938
4510786-1,2.0,befriedigend,388255.553,5705154.246,51.48648460776276,7.390573654133975
4510786-2,2.0,befriedigend,388255.553,5705154.246,51.48648460776276,7.390573654133975
4510798-2,2.0,befriedigend,385403.516,5705927.068,51.49285997682202,7.349263715209511
4510798-3,1.8,gut,385403.516,5705927.068,51.49285997682202,7.349263715209511
4510803-3,2.0,befriedigend,386796.676,5706297.352,51.496468792879504,7.3692042876770305
4510815-3,1.9,gut,392632.133,5695347.939,51.39918810694575,7.456558044805818
4510815-4,2.0,befriedigend,392632.133,5695347.939,51.39918810694575,7.456558044805818
4510815-5,2.0,befriedigend,392632.133,5695347.939,51.39918810694575,7.456558044805818
4510816-0,1.5,gut,387857.593,5706267.141,51.49640871188869,7.384490787758791
4510821-2,1.6,gut,389974.985,5706236.947,51.49655340385097,7.414990407609945
4510821-3,2.0,befriedigend,389974.985,5706236.947,51.49655340385097,7.414990407609945
4510824-2,1.7,gut,389126.835,5706140.465,51.49552048539476,7.402807444490982
4510824-3,1.3,sehr gut,389048.74,5706156.898,51.49565286702463,7.40167774414232
4510824-4,2.0,befriedigend,389048.74,5706156.898,51.49565286702463,7.40167774414232
4510830-1,1.4,sehr gut,394623.003,5696186.476,51.40709882865306,7.4849173986682445
4510830-2,1.8,gut,394623.003,5696186.476,51.40709882865306,7.4849173986682445
4511516-0,2.0,befriedigend,401081.563,5698388.274,51.428054359791346,7.577130629272765
4511521-0,1.7,gut,401447.74,5699491.93,51.43803901033794,7.582088942738589
4511522-0,2.0,befriedigend,400991.652,5699959.825,51.4421654026168,7.575398329216455
4511524-0,2.0,befriedigend,400919.164,5700018.448,51.44267969020482,7.574339257264784
4511574-1,2.0,befriedigend,397956.086,5698962.259,51.432659632572815,7.532023176473179
4511574-3,2.0,befriedigend,397984.879,5698956.154,51.43260994061011,7.532438997525568
4511576-2,2.0,befriedigend,398182.724,5699758.73,51.43985979273172,7.535053348611666
4511577-1,1.0,sehr gut,398155.626,5699647.592,51.43885591516834,7.534695573108866
4511577-2,1.8,gut,398155.626,5699647.592,51.43885591516834,7.534695573108866
4511577-3,1.6,gut,398155.626,5699647.592,51.43885591516834,7.534695573108866
4511583-0,1.9,gut,400631.565,5701896.611,51.45951211085409,7.5696748648206444
4511586-3,2.0,befriedigend,401550.515,5702299.605,51.4632952186229,7.5827857912148495
4511587-2,2.0,befriedigend,402102.883,5702579.553,51.465907505853636,7.590657194812615
4511587-3,1.8,gut,402102.883,5702579.553,51.465907505853636,7.590657194812615
4511587-4,1.7,gut,402102.883,5702579.553,51.465907505853636,7.590657194812615
4511587-5,2.0,befriedigend,402102.883,5702579.553,51.465907505853636,7.590657194812615
4511600-1,1.0,sehr gut,395867.079,5696753.337,51.41242403812538,7.502631331028476
4511603-B,2.0,befriedigend,397390.743,5698253.83,51.42618956524316,7.524098415286968
4511604-1,1.5,gut,397858.889,5698665.341,51.42997315964783,7.530711049826254
4511604-2,1.8,gut,397858.889,5698665.341,51.42997315964783,7.530711049826254
4511604-3,2.0,befriedigend,397858.889,5698665.341,51.42997315964783,7.530711049826254
4511604-4,1.9,gut,397858.889,5698665.341,51.42997315964783,7.530711049826254
4511710-3,1.9,gut,397694.422,5705296.194,51.48954701341648,7.52642752123474
4511713-2,2.0,befriedigend,397598.975,5705901.862,51.49497393812603,7.524877494768092
4511735-0,1.9,gut,398330.98,5695529.01,51.401865813022226,7.53839917335833
4511736-0,1.9,gut,398802.042,5695896.675,51.40525498727794,7.5450639553626395
4511738-0,1.5,gut,399300.135,5696972.771,51.41501666815375,7.551917048876159
4511740-1,2.0,befriedigend,398991.708,5698011.174,51.42429596176349,7.547187389319808
4511740-2,1.9,gut,398991.708,5698011.174,51.42429596176349,7.547187389319808
4511743-B1,1.8,gut,398706.966,5698403.575,51.42777240710451,7.542981144048988
4511761-A,2.0,befriedigend,399290.69,5703300.723,51.47189654801349,7.549980640312204
4511769-0,1.9,gut,398487.417,5700730.176,51.448646701055075,7.539157092243073
4511802-0,1.4,sehr gut,404025.09,5704358.991,51.48223241122937,7.617837461350579
4511803-2,2.0,befriedigend,405243.909,5705723.735,51.49470587563108,7.635018299757796
4511803-3,2.0,befriedigend,405243.909,5705723.735,51.49470587563108,7.635018299757796
4512504-0,1.7,gut,408700.148,5701082.248,51.45355046851687,7.685991285740872
4512505-0,1.2,sehr gut,407470.384,5699844.921,51.442228012229045,7.668620914228725
4512506-0,2.0,befriedigend,407776.587,5699405.144,51.43832462106364,7.673140074900988
4512511-0,2.0,befriedigend,409797.942,5695274.727,51.40151954990444,7.703265411162588
4512526-0,2.0,befriedigend,415960.463,5695560.932,51.40503909289608,7.7917673707682145
4512534-0,1.2,sehr gut,409704.517,5695328.958,51.401992197749294,7.701908911200611
4512554-0,2.0,befriedigend,416629.707,5698224.105,51.42907949242515,7.800760384412865
4512562-1,2.0,befriedigend,415637.519,5699585.09,51.44116763331611,7.786167419169908
